,Image URL,URL for Your Paintings Page,Subset,Labels
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/you/624x544/ny_you_350_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/lord-james-of-rusholme-first-vice-chancellor-9846','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/you/624x544/ny_you_274_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/white-house-ilkley-moor-9834','test',' sheep'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/you/624x544/ny_you_258_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/the-window-holds-all-the-secrets-9836','train',' dog'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/you/624x544/ny_you_244_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/midland-canal-9848','test',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/you/624x544/ny_you_192b_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/fishermen-with-sun-9851','test',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/you/624x544/ny_you_192a_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/fishermen-with-moon-9850','test',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/you/624x544/ny_you_124_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/painting-9804','test',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ymh/624x544/ny_ymh_mhcpa_204_1882_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/view-of-ouse-bridge-10067','train',' boat dog'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ymh/624x544/ny_ymh_mhcpa_1999_1_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/view-of-york-guildhall-on-the-river-ouse-10033','train',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ymh/624x544/ny_ymh_mhcpa_1960_1_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/alderman-robert-stavers-oloman-mbe-jp-10064','train',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ymh/624x544/ny_ymh_mhcpa_1915_1_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/thomas-carter-jp-10042','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ymh/624x544/ny_ymh_mhcpa_1910_1_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/alderman-william-bentley-jp-10044','validation',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ymh/624x544/ny_ymh_mhcpa_1906_1_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/j-g-butcher-esq-kc-mp-for-york-10062','validation',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ymh/624x544/ny_ymh_mhcpa_1897_1_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/alderman-sir-joseph-terry-kt-jp-10043','train',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ymh/624x544/ny_ymh_mhcpa_1870_1_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/george-leeman-18091882-lord-mayor-of-york-mp-for-york-city-10066','test',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ymh/624x544/ny_ymh_mhcpa_1860_1_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/george-leeman-10040','validation',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ymh/624x544/ny_ymh_mhcpa_1848_1_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/george-hudson-esq-mp-lord-mayor-of-the-city-of-york-1837-110045','test',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ymh/624x544/ny_ymh_mhcpa_1821_1_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/the-right-honourable-lawrence-lord-dundas-as-lord-mayor-of10053','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ymh/624x544/ny_ymh_mhcpa_1811_1_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/thomas-hartley-lord-mayor-of-york-1789-1803-10037','train',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ymh/624x544/ny_ymh_mhcpa_1809_1_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/the-old-bridge-over-the-river-ouse-york-10041','train',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ymh/624x544/ny_ymh_mhcpa_1799_1_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/sir-william-mordaunt-milner-3rd-bt-when-lord-mayor-of-york10050','test',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ymh/624x544/ny_ymh_mhcpa_1770_1_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/charles-watson-wentworth-2nd-marquis-of-rockingham-10058','test',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ymh/624x544/ny_ymh_mhcpa_1758_1_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/george-fox-lane-lord-bingley-as-lord-mayor-of-york-in-1757-10052','train',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ymh/624x544/ny_ymh_mhcpa_1755_2_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/king-george-ii-16831760-10048','test',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ymh/624x544/ny_ymh_mhcpa_1737_1_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/sir-john-lister-kaye-4th-bt-when-lord-mayor-of-york-10047','train',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yma/624x544/ny_yma_520_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/group-portrait-of-the-company-of-merchant-adventurers-of-t10371','train',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yma/624x544/ny_yma_447_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/st-crux-york-looking-from-the-shambles-to-pavement-10354','train',' dog'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yma/624x544/ny_yma_446_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/stonegate-york-10372','test',' dog'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yma/624x544/ny_yma_445_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/jack-penty-birch-obe-jp-fciob-governor-19851986-10370','test',' chair horse'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yma/624x544/ny_yma_444_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/christopher-rowntree-jp-19071995-governor-1952-10352','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yma/624x544/ny_yma_381_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/king-george-i-16601727-10373','train',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yma/624x544/ny_yma_345_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/unknown-gentleman-with-a-red-book-and-a-skull-10356','train',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yma/624x544/ny_yma_344_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/dutch-snow-scene-with-skaters-10363','train',' boat dog horse'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yma/624x544/ny_yma_262_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/mr-hatfield-showing-samples-of-wheat-10353','test',' chair diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yma/624x544/ny_yma_258_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/judge-john-francis-taylor-governor-18571858-18731875-10360','train',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yma/624x544/ny_yma_252_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/john-etty-10358','train',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yma/624x544/ny_yma_158_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/queen-henrietta-maria-16091669-10392','test',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yma/624x544/ny_yma_148_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/old-ouse-bridge-york-10361','test',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_tc2000_318_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/lady-anne-spencer-9906','test',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_tc1990_219_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/dame-frances-hardies-wife-of-sir-william-hardies-9730','train',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_tc1990_218_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/sir-william-hardies-9729','train',' dog'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_tc1990_212_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/the-seven-corporal-acts-of-mercy-9870','validation',' diningtable dog'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_tc1984_016_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/old-ouse-bridge-york-9734','test',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_tc1984_005_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/archbishop-herring-9874','validation',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_tc_1991_281_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/sir-william-temple-of-stowe-9858','train',' horse'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_nt1984_040_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/a-satyr-and-peasants-9877','test',' chair diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_nt1984_033_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/dutch-inshore-boats-moored-to-a-jetty-9860','test',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_nt1984_032_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/the-magdalene-9883','test',' boat diningtable horse'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_nt1984_025_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/woman-with-doves-9866','test',' bird'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_nt1984_023a_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/hunting-scene-in-wooded-landscape-9881','test',' dog horse'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_nt1984_017_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/a-dutch-two-decker-and-other-shipping-vessels-offshore-in-a9901','validation',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_nt1984_016_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/a-still-life-of-dead-birds-and-fruit-9900','train',' bird diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_nt1984_015_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/the-village-school-9873','test',' chair diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_nt1984_012_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/shipping-offshore-in-a-stormy-sea-9856','test',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_nt1984_011_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/a-still-life-of-an-overturned-glass-vase-with-flowers-and-f9890','test',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_nt1984_007b_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/figures-outside-a-church-set-in-a-wooded-landscape-9876','train',' dog horse'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_nt1984_007a_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/figures-outside-a-church-set-in-a-wooded-landscape-9875','train',' cow dog horse sheep'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_nt1984_004_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/figures-in-the-courtyard-of-a-house-9736','train',' dog'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_nt1984_002_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/an-interior-view-with-a-man-and-woman-9899','validation',' chair dog'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_nt1984_001b_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/dutch-canal-scene-with-rigged-sailing-vessels-and-figures-a9903','test',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_nt1984_001a_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/dutch-canal-scene-with-rigged-sailing-vessels-and-figures-a9902','validation',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_ct1990_367_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/louisa-jane-allen-mrs-john-wedgwood-9880','train',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_ct1988_327_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/lord-tylney-and-his-family-and-friends-at-wanstead-house-es9894','test',' chair diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_ct1984_300_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/john-carr-9867','train',' chair diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_ct1984_298_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/portrait-of-an-unknown-gentleman-9857','validation',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_ct1984_296_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/john-tregeagle-esq--9854','test',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yfh/624x544/ny_yfh_ct1984_295_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/anne-fairfax-as-a-shepherdess-9885','test',' sheep'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yeorn/624x544/som_yeorn_e01557_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/harrier-aircraft-attacking-goose-green-2829-may-1982-40710','test',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yeorn/624x544/som_yeorn_1984_262_0001_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/two-swordfish-aircraft-40679','validation',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_temp3_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/lysander-over-village-10415','train',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_temp2_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/shiny-ten-heyfords-10413','train',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_temp1_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/biplane-10419','test',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260780_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/jet-provost-10438','train',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260669_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/halifax-np-u-of-158-squadron-over-duisburg-at-night-10439','train',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260668_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/lancaster-np-u-and-spitfire-tm-l-10440','test',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260644_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/lancaster-111-jb421-k-king-of-49-squadron-10404','validation',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260483_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/halifax-faf-347-squadron-10408','train',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260482_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/two-whitley-bombers-airborne-10423','test',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260373_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/halifax-friday-13th-of-158-squadron-first-operation-over-n10444','test',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260368_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/halifax-mk111-lk-r-of-578-squadron-10443','test',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260367_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/87-squadron-gladiators-tied-together-k7967-k8027-k7972-10402','test',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260333_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/amy-johnsons-flight-to-australia-in-dh-moth-g-aaah-10431','test',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260332_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/hawker-demon-k2905-of-10fts-on-air-test-10427','train',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260331_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/supermarine-stranraer-in-flight-10433','test',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260330_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/dh9a-of-84-squadron-10432','train',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260321_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/spitfire-and-hurricane-in-flight-10420','train',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260313_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/halifax-night-flying-10411','validation',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260243_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/hawker-typhoon-ib-r8809-br-n-of-184-squadron-10405','test',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260230_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/aw-whitleys-kn-s-and-kn-t-of-77-squadron-10422','train',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260207_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/heavily-laden-halifax-mk111-10416','test',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260176_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/mosquito-ml983-bk-k-of-115-squadron-10417','test',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260159_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/halifax-friday-13th-lv907-np-f-of-158-squadron-10434','test',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260158_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/lancaster-km-b-pa474-of-bbmf-10407','validation',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260157_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/hurricane-iia-xr-z-of-71-squadron-10410','train',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260156_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/spitfire-10409','test',' aeroplane'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/yam/624x544/ny_yam_260155_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/failed-to-return-halifax-hr911-dy-l-of-102-squadron-10418','train',' aeroplane'
